transportador_cpf_cnpj;tipo_conjunto;cavalo_placa;primeira_carreta_placa;segunda_carreta_placa;dolly_placa;prancha_placa;estados;comprimento;largura;altura;peso_total;observacoes
80432693000120;BITREM 9 eixos;RLE9J27;MME0684;MME0644;;;GO,PA;26;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4G06;RLJ5C06;RLJ5B66;;;DNIT,GO,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4G36;RLJ4J86;RLJ4J96;;;DNIT,GO,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4G46;RLJ4I06;RLJ4I16;;;DNIT,GO,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLJ4H16;QIJ7085;QIM8905;;;GO;25.5;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXO9I78;RLP9G76;RLP9F36;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXO9J08;RXS2B67;RXS2B47;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXO9J78;RLP8J76;RLP8I86;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0A28;RLF7J20;RLF7I90;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0A68;RLF8F10;RLF8E40;;;GO,MG;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0A88;RLF7G40;RLF7G30;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0B08;RXP6H08;RXP6H48;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0B98;RLF0B20;RLF6H20;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0C28;RLP8H76;RLP8H16;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0C68;RLF7F80;RLF7F70;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0D18;RXP-6I18;RXP-6I38;;;BA,DNIT,GO,MG,PE,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0D38;RXP7B08;RXP7B38;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0D68;RXS2D27;RXS1I37;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0E28;RXS2C47;RXS2C27;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0E38;RXP5A88;RXP6I68;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0E48;RXP7B48;RXP7B68;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0E58;RLF8B30;RLF8B10;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0E78;RXS2B27;RXS2A97;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0E98;RLE9G10;RLF7G80;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0F18;RLF7J50;RLF7J30;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0F88;RXP6I78;RXP6J18;;;GO;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RXP0G28;RXS1I57;RXS1I67;;;GO;25.4;2.6;4.4;74.0;renovação
